Code,Building,Room,Room Type,Capacity,Guest,Notes,Adj Rm,Room Key,Outside Key,Keycard #,Card Returned,Key Returned,Key Notes
JEWE*200C,JEWE,200C,Single,1,,,,R7AZ11,O7AZ1,,,,
PAGW*200B,PAGW,200B,Single in a Quint,1,,,,R7AR3,O7AR1,,,,
RICE*201,RICE,201,Single in a Triple,1,,,RICE*202,R7AU5,O7AU1,,,,
RICE*300A,RICE,300A,Single,1,,,,R7AU6,O7AU1,,,,
RICE*300B,RICE,300B,Single,1,,,,R7AU10,O7AU1,,,,
RICE*300C,RICE,300C,Single,1,,,,R7AU11,O7AU1,,,,
WADE*204,WADE,204,Single,1,,,,R7AL14,,,,,
WADE*205,WADE,205,Single,1,,,,R7AL5,,,,,
WADE*305,WADE,305,Single,1,,,,R7AL11,,,,,
WADE*306,WADE,306,Single,1,,,,R7AL12,,,,,
JEWE*100A,JEWE,100A,Double,2,,,,R7AZ8,O7AZ1,,,,
JEWE*100A,JEWE,100A,Double,2,,,,R7AZ8,O7AZ1,,,,
JEWE*100B,JEWE,100B,Double,2,,,,R7AZ4,O7AZ1,,,,
JEWE*100B,JEWE,100B,Double,2,,,,R7AZ4,O7AZ1,,,,
JEWE*200A,JEWE,200A,Double,2,,,,R7AZ5,O7AZ1,,,,
JEWE*200A,JEWE,200A,Double,2,,,,R7AZ5,O7AZ1,,,,
JEWE*200B,JEWE,200B,Double,2,,,,R7AZ9,O7AZ1,,,,
JEWE*200B,JEWE,200B,Double,2,,,,R7AZ9,O7AZ1,,,,
JEWE*303,JEWE,303,Double,2,,,,R7A13,O7AZ1,,,,
JEWE*303,JEWE,303,Double,2,,,,R7A13,O7AZ1,,,,
PAGW*200A,PAGW,200A,Double in a Quint,2,,,,R7AR2,O7AR1,,,,
PAGW*200A,PAGW,200A,Double in a Quint,2,,,,R7AR2,O7AR1,,,,
PAGW*200C,PAGW,200C,Double in a Quint,2,,,,R7AR4,O7AR1,,,,
PAGW*200C,PAGW,200C,Double in a Quint,2,,,,R7AR4,O7AR1,,,,
RICE*105A,RICE,105A,"Double, 2 Room",2,,,,R7AU9,O7AU1,,,,
RICE*105A,RICE,105A,"Double, 2 Room",2,,,,R7AU9,O7AU1,,,,
RICE*111A,RICE,111A,Double,2,,,,R7AU4,O7AU1,,,,
RICE*111A,RICE,111A,Double,2,,,,R7AU4,O7AU1,,,,
RICE*202,RICE,202,Double in Triple,2,,,RICE*201,R7AU13,O7AU1,,,,
RICE*202,RICE,202,Double in Triple,2,,,RICE*201,R7AU13,O7AU1,,,,
WADE*201,WADE,201,Double,2,,,,R7AL3,,,,,
WADE*201,WADE,201,Double,2,,,,R7AL3,,,,,
WADE*206,WADE,206,Double,2,,,,R7AL6,,,,,
WADE*206,WADE,206,Double,2,,,,R7AL6,,,,,
WADE*207,WADE,207,Double,2,,,,R7AL4,,,,,
WADE*207,WADE,207,Double,2,,,,R7AL4,,,,,
WADE*208,WADE,208,Double,2,,,,R7AL15,,,,,
WADE*208,WADE,208,Double,2,,,,R7AL15,,,,,
WADE*302,WADE,302,Double,2,,,,R7AL9,,,,,
WADE*302,WADE,302,Double,2,,,,R7AL9,,,,,
WADE*303,WADE,303,Double,2,,,,R7AL10,,,,,
WADE*303,WADE,303,Double,2,,,,R7AL10,,,,,
JEWE*301,JEWE,301,Triple,3,,,,R7AZ12,O7AZ1,,,,
JEWE*301,JEWE,301,Triple,3,,,,R7AZ12,O7AZ1,,,,
JEWE*301,JEWE,301,Triple,3,,,,R7AZ12,O7AZ1,,,,
RICE*204A,RICE,204A,"Triple, 2 Room",3,,,,R7AU8,O7AU1,,,,
RICE*204A,RICE,204A,"Triple, 2 Room",3,,,,R7AU8,O7AU1,,,,
RICE*204A,RICE,204A,"Triple, 2 Room",3,,,,R7AU8,O7AU1,,,,
RICE*203A,RICE,203A,"Quad, 2 Room",4,,,,R7AU2,O7AU1,,,,
RICE*203A,RICE,203A,"Quad, 2 Room",4,,,,R7AU2,O7AU1,,,,
RICE*203A,RICE,203A,"Quad, 2 Room",4,,,,R7AU2,O7AU1,,,,
RICE*203A,RICE,203A,"Quad, 2 Room",4,,,,R7AU2,O7AU1,,,,
